Facility ID,Name,Address,City,County,State,Zip Code,Latitude,Longitude,Coordinate Source,Address Match Type,Open USTs,Closed USTs,Temporarily Out of Service USTs,Facility Status,Land Use,Estimated Population within 1500ft,Estimated Private Domestic Wells wihtin 1500ft,Within Source Water Protection Area (SPA),SPA Public Water System and Facility ID,SPA Water Type,SPA Facility Type,SPA HUC12,Within Groundwater Wellhead Protection Area (WHPA),WHPA Public Water System and Facility ID,WHPA Water Type,WHPA Facility Type,WHPA HUC12,Within 100-year Floodplain,Date_of_Last_Inspection,EPA Region,Tribe,x,y
GA4140047,SAND HILL GROCERY,5455 HWY 122,PAVO,,Georgia,31778,30.98484844,-83.65183033,Geocode,PointAddress,3,0,0,Open UST(s),Non-Developed,5,3,No,,,,,No,,,,,No,,4,,-83.65183033,30.984848440000064
GA9125021,HICKS FLYING,BRACKIN ROAD,DONALSONVILLE,,Georgia,39845,30.98486882,-84.94535848,Geocode,StreetName,0,2,0,Closed UST(s),,,,,,,,,,,,,,,,4,,-84.94535848,30.98486882000003
GA650070,PURE COUNTRY STORE LLC,2752 HWY 112 N,Cairo,,Georgia,39827,30.98505509,-84.25708036,Geocode,StreetAddress,2,2,0,Open UST(s),Non-Developed,11,4,No,,,,,No,,,,,No,,4,,-84.25708036,30.98505509000006
GA320013,UNION CAMP,US HWY 84,DUPONT,,Georgia,31630,30.98721623,-82.8762167,Geocode,StreetName,0,1,0,Closed UST(s),,,,,,,,,,,,,,,,4,,-82.8762167,30.987216230000058
GA320039,REGISTER SVC STA,US HWY 84,DUPONT,,Georgia,31630,30.98721623,-82.8762167,Geocode,StreetName,0,4,0,Closed UST(s),,,,,,,,,,,,,,,,4,,-82.8762167,30.987216230000058
GA9032005,ABANDONED SVC STA,US HWY 84,DUPONT,,Georgia,31630,30.98721623,-82.8762167,Geocode,StreetName,0,1,0,Closed UST(s),,,,,,,,,,,,,,,,4,,-82.8762167,30.987216230000058
GA10000632,STELLA MINSON PROPERTY,U S HWY 84,DUPONT,,Georgia,31630,30.98721623,-82.8762167,Geocode,StreetName,0,4,0,Closed UST(s),,,,,,,,,,,,,,,,4,,-82.8762167,30.987216230000058
GA9136012,GRIFFIN COUNTRY CORNER GROCERY S,US HWY 319 & MURPHY RD,COOLIDGE,,Georgia,31738,30.988845,-83.8771695,Geocode,StreetInt,0,2,0,Closed UST(s),"Developed, Low Intensity",15,7,No,,,,,Yes,GA2750001_9346,GW,WL,031200020303,No,,4,,-83.8771695,30.988845000000026
GA9092074,DISCOUNT CENTER,205 S CHURCH ST,HAHIRA,,Georgia,31632,30.98932257,-83.3719604,Geocode,PointAddress,0,0,2,Open UST(s),"Developed, Open Space",483,53,No,,,,,Yes,GA1850000_22679,GW,WL,031102040504,No,,4,,-83.3719604,30.98932257000007
GA920028,HAHIRA CITGO STATION,201 S CHURCH,HAHIRA,,Georgia,31632,30.98989759,-83.37217092,Geocode,PointAddress,0,3,0,Closed UST(s),"Developed, Medium Intensity",472,53,No,,,,,Yes,GA1850000_22679,GW,WL,031102040504,No,,4,,-83.37217092,30.989897590000055
GA10000634,SUWANNOOCHEE RESERVATIONS INC,HWY 84 & WILLIAMS STREET,DUPONT,,Georgia,31630,30.989979,-82.8689265,Geocode,StreetInt,0,1,0,Closed UST(s),"Developed, Low Intensity",75,23,No,,,,,Yes,GA0650004_5278,GW,WL,031102010302,No,,4,,-82.8689265,30.989979000000062
GA9092274,JIMMY'S 66,405 W MAIN ST,HAHIRA,,Georgia,31632,30.99033516,-83.376695,Geocode,PointAddress,0,7,0,Closed UST(s),"Developed, Low Intensity",210,23,No,,,,,Yes,GA1850000_22679,GW,WL,031102040504,No,,4,,-83.376695,30.99033516000003
GA320024,QUICK STOP,US HWY 84 E & NELSON ST,DUPONT,,Georgia,31630,30.990735,-82.8683325,Geocode,StreetInt,2,2,0,Open UST(s),"Developed, Open Space",75,23,No,,,,,Yes,GA0650004_5278,GW,WL,031102010302,No,,4,,-82.8683325,30.99073500000003
GA920119,CITY OF HAHIRA,102 S CHURCH STREET,HAHIRA,,Georgia,31632,30.99092951,-83.37260167,Geocode,PointAddress,0,1,0,Closed UST(s),"Developed, High Intensity",456,55,No,,,,,Yes,GA1850000_22679,GW,WL,031102040504,No,,4,,-83.37260167,30.990929510000058
GA9092130,GA DOT #10480 HAHIRA MAINT HDQTS,UNION RD 38 1/4 MI S OF SR 122,HAHIRA,,Georgia,31632,30.99141577,-83.37280265,Geocode,StreetAddressExt,0,2,0,Closed UST(s),,,,,,,,,,,,,,,,4,,-83.37280265,30.99141577000006
GA920125,HAHIRA PURE,1018 GEORGIA HIGHWAY 122 WEST,HAHIRA,,Georgia,31632,30.99178871,-83.38638238,Geocode,PointAddress,0,3,0,Closed UST(s),"Developed, Low Intensity",23,2,No,,,,,Yes,GA1850000_22679,GW,WL,031102040504,No,,4,,-83.38638238,30.991788710000037
GA9125017,J & L CAR WASH & DETAIL,101 DUNHAM ST,IRON CITY,,Georgia,39859,30.99248676,-84.76438221,Geocode,StreetName,0,0,1,Open UST(s),,,,,,,,,,,,,,,,4,,-84.76438221,30.992486760000077
GA909221,BIG FOOT TRAVEL CENTER,1311 HWY 122 WEST,HAHIRA,,Georgia,31632,30.99251932,-83.38911793,Geocode,PointAddress,6,0,0,Open UST(s),"Developed, Low Intensity",16,3,No,,,,,Yes,GA1850000_22679,GW,WL,031102040504,No,,4,,-83.38911793,30.992519320000042
GA9092257,HAHIRA QUICK STOP #965,1305 HWY 122 WEST,HAHIRA,,Georgia,31632,30.99265025,-83.38955003,Geocode,PointAddress,0,8,0,Closed UST(s),"Developed, Medium Intensity",15,3,No,,,,,Yes,GA1850000_22679,GW,WL,031102040504,No,,4,,-83.38955003,30.992650250000054
GA9092282,BP FOOD STORE,1300 HIGHWAY 122 W,HAHIRA,,Georgia,31632,30.99291975,-83.3902925,Geocode,PointAddress,4,0,0,Open UST(s),"Developed, Medium Intensity",14,3,No,,,,,Yes,GA1850000_22679,GW,WL,031102040504,No,,4,,-83.3902925,30.992919750000056
GA920203,HAHIRA GA MOTEL LTD,175 & GA HWY 122 W,HAHIRA,,Georgia,31632,30.99529719,-83.41839519,Geocode,StreetName,0,2,0,Closed UST(s),,,,,,,,,,,,,,,,4,,-83.41839519,30.99529719000003
GA10002109,LITTLE RIVER GROCERY,8235 HWY 122 WEST,HAHIRA,,Georgia,31632,30.99661797,-83.43876583,Geocode,PointAddress,1,0,0,Open UST(s),Non-Developed,12,5,No,,,,,No,,,,,No,,4,,-83.43876583,30.996617970000045
GA4430075,R G HEARD FARMS INC,516 BRINSON COLQUITT RD,BRINSON,,Georgia,39825,30.9984101,-84.73135748,Geocode,StreetAddress,0,5,0,Closed UST(s),"Developed, Open Space",1,0,No,,,,,No,,,,,No,,4,,-84.73135748,30.998410100000058
GA9136024,GEORGIA NORTH PLANT (AKA OIL DRI OCHLOCKEE PLANT),28990 GA HWY 3 N,OCHLOCKNEE,,Georgia,31773,30.99939398,-84.06043,Geocode,PointAddress,0,1,0,Closed UST(s),"Developed, Low Intensity",6,1,No,,,,,Yes,GA2750040_23468,GW,WL,031200020503,No,,4,,-84.06043,30.999393980000036
GA632000,FRIENDLY EXPRESS #7,HWY 121 & US 1,RACEPOND,,Georgia,31529,31.000896,-82.128672,Geocode,StreetInt,0,5,0,Closed UST(s),"Developed, Low Intensity",6,2,No,,,,,No,,,,,No,,4,,-82.128672,31.00089600000007
GA1250004,SUNSHINE JR FOOD STORE #431,US HWY 84,IRON CITY,,Georgia,39859,31.00172493,-84.7858868,Geocode,StreetName,0,6,0,Closed UST(s),,,,,,,,,,,,,,,,4,,-84.7858868,31.001724930000023
GA1250025,LAMAR BURKE,HWY 84,IRON CITY,,Georgia,39859,31.00172493,-84.7858868,Geocode,StreetName,0,1,0,Closed UST(s),,,,,,,,,,,,,,,,4,,-84.7858868,31.001724930000023
GA650007,SHIVER ELEM SCHOOL,1847 HWY 93 NORTH,PELHAM,,Georgia,31779,31.00306547,-84.20433554,Geocode,PointAddress,0,2,0,Closed UST(s),Non-Developed,11,5,No,,,,,Yes,GA1310003_6659,GW,WL,031200020501,No,,4,,-84.20433554,31.003065470000024
GA1250006,CITY MOTOR CO INC DHA SHINGLER C,HWY 84 WEST,SEMINOLE,,Georgia,31745,31.00328818,-84.78950679,Geocode,StreetName,0,1,0,Closed UST(s),,,,,,,,,,,,,,,,4,,-84.78950679,31.003288180000027
GA320009,GA FC,US HWY 441/1.5 MILES NW,HOMERVILLE,,Georgia,31634,31.00724666,-82.70609123,Geocode,StreetName,0,1,0,Closed UST(s),,,,,,,,,,,,,,,,4,,-82.70609123,31.007246660000078
GA320010,GA FC/CLINCH CO UNIT,US HWY 441/1 MILE NW,HOMERVILLE,,Georgia,31634,31.00724666,-82.70609123,Geocode,StreetName,0,5,0,Closed UST(s),,,,,,,,,,,,,,,,4,,-82.70609123,31.007246660000078
GA320012,GA DOT #10413/CLINCH CO MAINT HQ,GA HWY 89,HOMERVILLE,,Georgia,31634,31.00724666,-82.70609123,Geocode,StreetName,0,2,0,Closed UST(s),,,,,,,,,,,,,,,,4,,-82.70609123,31.007246660000078
GA320017,AT&T,US HWY 441/6 MI NORTH,HOMERVILLE,,Georgia,31634,31.00724666,-82.70609123,Geocode,StreetName,0,1,0,Closed UST(s),,,,,,,,,,,,,,,,4,,-82.70609123,31.007246660000078
GA9032012,CLINCH CO MAINT SHOP,HWY 441 N,HOMERVILLE,,Georgia,31634,31.00724666,-82.70609123,Geocode,StreetName,0,2,0,Closed UST(s),,,,,,,,,,,,,,,,4,,-82.70609123,31.007246660000078
GA1360182,SHREEJI DHRUV,4023 S PINE ST,COOLIDGE,,Georgia,31738,31.00752106,-83.86767529,Geocode,StreetAddress,3,0,0,Open UST(s),"Developed, Low Intensity",169,32,No,,,,,No,,,,,No,,4,,-83.86767529,31.007521060000045
GA10001619,BARNEY PEACH MART,13890 HWY 122,BARNEY,,Georgia,31625,31.00854252,-83.51353427,Geocode,PointAddress,3,0,0,Open UST(s),"Developed, Low Intensity",51,32,No,,,,,No,,,,,No,,4,,-83.51353427,31.00854252000005
GA1360015,FRANKLIN I SMITH FARMS INC,6788 PATTON RD,COOLIDGE,,Georgia,31738,31.0107935,-83.8642188,Geocode,Postal,0,2,0,Closed UST(s),,,,,,,,,,,,,,,,4,,-83.8642188,31.010793500000034
GA1360091,K R SMITH FARMS,RTE 2,COOLIDGE,,Georgia,31738,31.0107935,-83.8642188,Geocode,Postal,0,3,0,Closed UST(s),,,,,,,,,,,,,,,,4,,-83.8642188,31.010793500000034
GA9136043,J G WHALEY SVC STATION,APPC 100 FT NORTH OF NW INTER,COOLIDGE,,Georgia,31738,31.0107935,-83.8642188,Geocode,Postal,0,2,0,Closed UST(s),,,,,,,,,,,,,,,,4,,-83.8642188,31.010793500000034
GA1360127,COOLIDGE FERTILIZER & FARM SUPPL,US HWY 319,COOLIDGE,,Georgia,31738,31.01105175,-83.86665808,Geocode,StreetName,0,2,0,Closed UST(s),,,,,,,,,,,,,,,,4,,-83.86665808,31.011051750000036
GA9136052,UNKNOWN,HWY 319,COOLIDGE,,Georgia,31738,31.01105175,-83.86665808,Geocode,StreetName,0,5,0,Closed UST(s),,,,,,,,,,,,,,,,4,,-83.86665808,31.011051750000036
GA1360155,SHREEJI MITAL LLC,1016 W JAPONICA AVE,COOLIDGE,,Georgia,31738,31.01159701,-83.86701538,Geocode,PointAddress,2,0,1,Open UST(s),"Developed, Low Intensity",251,49,No,,,,,No,,,,,No,,4,,-83.86701538,31.01159701000006
GA9125010,GREENE POULTRY CO,84 EAST,IRON CITY,,Georgia,39859,31.013343,-84.8113324,Geocode,Postal,0,1,0,Closed UST(s),,,,,,,,,,,,,,,,4,,-84.8113324,31.013343000000077
GA10000135,IRON CITY CONVENIENCE STORE,111 S CHURCH ST,IRON CITY,,Georgia,39859,31.013748,-84.8128455,Geocode,StreetName,2,0,0,Open UST(s),,,,,,,,,,,,,,,,4,,-84.8128455,31.013748000000078
GA1010072,GASSETT SERV STATION,PO BOX 48/US HWY 19,MEIGS,,Georgia,31765,31.01377322,-84.05419852,Geocode,StreetName,0,4,0,Closed UST(s),,,,,,,,,,,,,,,,4,,-84.05419852,31.013773220000076
GA1360017,JAMES A CARTER ESTATE,HWY 19 & 111,MEIGS,,Georgia,31765,31.01377322,-84.05419852,Geocode,StreetName,0,3,0,Closed UST(s),,,,,,,,,,,,,,,,4,,-84.05419852,31.013773220000076
GA1250035,GTE/CTC OF THE SOUTH-IRON CITY C,45 CHURCH ST,IRON CITY,,Georgia,39859,31.01387349,-84.81284637,Geocode,StreetAddressExt,0,1,0,Closed UST(s),,,,,,,,,,,,,,,,4,,-84.81284637,31.013873490000037
GA10000832,FORMERLY MICKIE BATALO PROPERTY,5215 GA HIGHWAY 122 EAST,HAHIRA,,Georgia,31632,31.01425313,-83.29776728,Geocode,PointAddress,0,1,0,Closed UST(s),Non-Developed,22,4,No,,,,,Yes,GA1850043_7760,GW,WL,031102030403,No,,4,,-83.29776728,31.014253130000043
GA9136042,SUPER FOOD CHAMP,3023 N PINE ST,COOLIDGE,,Georgia,31738,31.01447095,-83.8656738,Geocode,PointAddress,4,4,0,Open UST(s),"Developed, Medium Intensity",268,52,No,,,,,No,,,,,No,,4,,-83.8656738,31.01447095000003
GA320036,BROCKWAY STANDARD,US HWY 84 W,HOMERVILLE,,Georgia,31634,31.01641785,-82.81530986,Geocode,StreetName,0,1,0,Closed UST(s),,,,,,,,,,,,,,,,4,,-82.81530986,31.01641785000004
GA9020100,REEDS GROCERY,4426 BURNT FORT RD HWY 252,WHITE OAK,,Georgia,31568,31.01939194,-81.80419664,Geocode,PointAddress,1,2,1,Open UST(s),Non-Developed,3,2,No,,,,,No,,,,,No,,4,,-81.80419664,31.019391940000048
GA9004001,ESTELLE THOMPSON,GA HWY 253,COLQUITT,,Georgia,39837,31.01947184,-84.54574605,Geocode,StreetName,0,2,0,Closed UST(s),,,,,,,,,,,,,,,,4,,-84.54574605,31.01947184000005
GA9043042,C & P COUNTRY STORE,2639 NEWTON RD,BAINBRIDGE,,Georgia,39817,31.01992083,-84.54230432,Geocode,StreetAddress,0,2,0,Closed UST(s),Non-Developed,4,2,No,,,,,No,,,,,No,,4,,-84.54230432,31.019920830000046
GA9043657,T E DAVIS GROCERY,4159 VADA RD,CLIMAX,,Georgia,31717,31.02237301,-84.46215249,Geocode,StreetAddress,0,3,0,Closed UST(s),Non-Developed,11,5,No,,,,,No,,,,,Yes,,4,,-84.46215249,31.022373010000024
GA650031,GILLIARDS STORE,2275 HWY 93 NORTH,PELHAM,,Georgia,31779,31.02327409,-84.20398933,Geocode,StreetAddressExt,2,5,0,Open UST(s),,,,,,,,,,,,,,,,4,,-84.20398933,31.02327409000003
GA10002301,CROSSROAD PANTRY,1385 W HWY 122,LAKELAND,,Georgia,31635,31.02542627,-83.17879545,Geocode,StreetAddress,4,0,0,Open UST(s),"Developed, Open Space",20,9,No,,,,,No,,,,,No,,4,,-83.17879545,31.025426270000025
GA9086003,TRI COUNTY GROCERY,4 HWY 125 N,RAY CITY,,Georgia,31645,31.02562393,-83.19789276,Geocode,StreetAddress,3,0,0,Open UST(s),Non-Developed,81,37,No,,,,,Yes,GA1850030_7747,GW,WL,031102030302,No,,4,,-83.19789276,31.02562393000005
GA9086002,PETRO #155  C MART,603 OAK ST,LAKELAND,,Georgia,31635,31.02596861,-83.06601379,Geocode,StreetAddress,3,0,0,Open UST(s),"Developed, Open Space",52,1,No,,,,,Yes,GA1730015_17706,GW,WL,031102020901,No,,4,,-83.06601379,31.025968610000064
GA10002410,DOLLAR GENERAL #851,907 MARIANNA HWY,DONALSONVILLE,,Georgia,39845,31.02649415,-84.88929486,Geocode,StreetAddress,3,0,0,Open UST(s),Non-Developed,136,9,No,,,,,No,,,,,Yes,,4,,-84.88929486,31.026494150000076
GA860010,LAKELAND OIL CO INC,802 VALDOSTA HWY,LAKELAND,,Georgia,31635,31.02666453,-83.07187545,Geocode,StreetAddress,0,6,0,Closed UST(s),Non-Developed,60,0,No,,,,,Yes,GA1730015_17706,GW,WL,031102020901,No,,4,,-83.07187545,31.026664530000062
GA860018,LANIER COUNTY PRIMARY SCHOOL,242 VALDOSTA RD,LAKELAND,,Georgia,31635,31.02673704,-83.07187304,Geocode,StreetAddress,0,2,0,Closed UST(s),Non-Developed,63,0,No,,,,,Yes,GA1730015_17706,GW,WL,031102020901,No,,4,,-83.07187304,31.026737040000057
GA320037,CLINCH CO SCHOOL BUS SHOP,707 WIREGRASS ST,HOMERVILLE,,Georgia,31634,31.02704396,-82.74058064,Geocode,PointAddress,0,2,0,Closed UST(s),"Developed, Low Intensity",123,4,No,,,,,Yes,GA0650000_5276,GW,WL,031102010201,No,,4,,-82.74058064,31.02704396000007
GA1250022,AMFI,MARIANNA HWY RTE 4 BOX 265,DONALSONVILLE,,Georgia,39845,31.02879884,-84.88451685,Geocode,StreetName,0,3,0,Closed UST(s),,,,,,,,,,,,,,,,4,,-84.88451685,31.028798840000036
GA320004,SLASH PINE EMC,LYNCH ST/US HWY 84/PO BOX 356,HOMERVILLE,,Georgia,31634,31.03129261,-82.76996937,Geocode,StreetName,0,1,0,Closed UST(s),,,,,,,,,,,,,,,,4,,-82.76996937,31.031292610000037
GA320021,CONTAINER CORP OF AMERICA,HWY 84,HOMERVILLE,,Georgia,31634,31.03129261,-82.76996937,Geocode,StreetName,0,2,0,Closed UST(s),,,,,,,,,,,,,,,,4,,-82.76996937,31.031292610000037
